ID,Type,Date,Time,Source,Lat (100m),Lon (100m)
5D83839,Gunshot_or_Firecracker,4-Mar-18,14:00:47,WashingtonDC5D,38.904,-76.992
7D259657,Gunshot_or_Firecracker,4-Mar-18,18:37:19,WashingtonDC7D,38.831,-77.007
5D83846,Gunshot_or_Firecracker,4-Mar-18,19:52:05,WashingtonDC5D,38.904,-76.989
6D202053,Gunshot_or_Firecracker,5-Mar-18,0:18:21,WashingtonDC6D,38.886,-76.926
5D83881,Gunshot_or_Firecracker,7-Mar-18,4:33:19,WashingtonDC5D,38.923,-76.972
3D68961,Gunshot_or_Firecracker,8-Mar-18,22:51:24,WashingtonDC3D,38.93,-77.032
3D68962,Gunshot_or_Firecracker,8-Mar-18,22:51:32,WashingtonDC3D,38.93,-77.032
6D202096,Gunshot_or_Firecracker,9-Mar-18,16:23:53,WashingtonDC6D,38.899,-76.935
7D259751,Gunshot_or_Firecracker,10-Mar-18,13:59:07,WashingtonDC7D,38.837,-76.99
7D259762,Gunshot_or_Firecracker,11-Mar-18,12:31:27,WashingtonDC7D,38.831,-77.006
7D259768,Gunshot_or_Firecracker,11-Mar-18,17:08:11,WashingtonDC7D,38.863,-76.982
3D68983,Gunshot_or_Firecracker,12-Mar-18,16:20:05,WashingtonDC3D,38.929,-77.019
3D68998,Gunshot_or_Firecracker,18-Mar-18,0:13:19,WashingtonDC3D,38.927,-77.027
3D68999,Gunshot_or_Firecracker,18-Mar-18,0:13:30,WashingtonDC3D,38.927,-77.027
3D69000,Gunshot_or_Firecracker,18-Mar-18,0:13:32,WashingtonDC3D,38.927,-77.027
7D259862,Gunshot_or_Firecracker,18-Mar-18,0:25:47,WashingtonDC7D,38.831,-77.006
6D202199,Gunshot_or_Firecracker,18-Mar-18,2:35:29,WashingtonDC6D,38.87,-76.971
6D202203,Gunshot_or_Firecracker,18-Mar-18,16:49:38,WashingtonDC6D,38.891,-76.926
6D202209,Gunshot_or_Firecracker,18-Mar-18,18:48:40,WashingtonDC6D,38.887,-76.952
5D83986,Gunshot_or_Firecracker,19-Mar-18,0:04:47,WashingtonDC5D,38.902,-76.979
5D84006,Gunshot_or_Firecracker,20-Mar-18,16:31:48,WashingtonDC5D,38.902,-76.988
6D202251,Gunshot_or_Firecracker,20-Mar-18,16:31:53,WashingtonDC6D,38.894,-76.942
7D259953,Gunshot_or_Firecracker,22-Mar-18,14:55:40,WashingtonDC7D,38.865,-76.983
5D84014,Gunshot_or_Firecracker,23-Mar-18,0:42:33,WashingtonDC5D,38.903,-76.981
6D202285,Gunshot_or_Firecracker,23-Mar-18,4:33:27,WashingtonDC6D,38.9,-76.946
6D202286,Gunshot_or_Firecracker,23-Mar-18,5:46:18,WashingtonDC6D,38.873,-76.971
6D202375,Gunshot_or_Firecracker,29-Mar-18,21:08:29,WashingtonDC6D,38.882,-76.929
6D202402,Gunshot_or_Firecracker,31-Mar-18,18:12:21,WashingtonDC6D,38.894,-76.924
