ID,Type,Date,Time,Source,Lat (100m),Lon (100m)
6D201547,Single_Gunshot,21-Jan-18,16:47:15,WashingtonDC6D,38.865,-76.977
6D201566,Single_Gunshot,22-Jan-18,0:41:24,WashingtonDC6D,38.904,-76.942
3D68716,Single_Gunshot,22-Jan-18,6:11:44,WashingtonDC3D,38.927,-77.023
5D83404,Single_Gunshot,22-Jan-18,19:06:35,WashingtonDC5D,38.905,-76.991
6D201585,Single_Gunshot,22-Jan-18,23:55:16,WashingtonDC6D,38.906,-76.931
6D201594,Single_Gunshot,24-Jan-18,0:07:50,WashingtonDC6D,38.894,-76.923
6D201595,Single_Gunshot,24-Jan-18,0:48:07,WashingtonDC6D,38.894,-76.923
6D201596,Single_Gunshot,24-Jan-18,0:48:18,WashingtonDC6D,38.894,-76.923
4D67060,Single_Gunshot,24-Jan-18,3:43:08,WashingtonDC4D,38.944,-77.022
7D258708,Single_Gunshot,24-Jan-18,19:05:43,WashingtonDC7D,38.863,-76.994
6D201602,Single_Gunshot,24-Jan-18,23:31:33,WashingtonDC6D,38.912,-76.936
7D258709,Single_Gunshot,24-Jan-18,23:34:29,WashingtonDC7D,38.856,-76.969
7D258712,Single_Gunshot,25-Jan-18,0:33:29,WashingtonDC7D,38.837,-77.004
6D201609,Single_Gunshot,25-Jan-18,17:43:14,WashingtonDC6D,38.903,-76.938
7D258750,Single_Gunshot,26-Jan-18,1:47:50,WashingtonDC7D,38.841,-76.983
4D67071,Single_Gunshot,26-Jan-18,19:30:40,WashingtonDC4D,38.951,-77.023
7D258778,Single_Gunshot,26-Jan-18,21:23:35,WashingtonDC7D,38.859,-76.997
7D258779,Single_Gunshot,26-Jan-18,21:23:52,WashingtonDC7D,38.859,-76.997
7D258788,Single_Gunshot,27-Jan-18,4:22:04,WashingtonDC7D,38.841,-76.985
6D201623,Single_Gunshot,27-Jan-18,4:29:07,WashingtonDC6D,38.91,-76.938
5D83430,Single_Gunshot,27-Jan-18,16:54:34,WashingtonDC5D,38.915,-76.983
7D258812,Single_Gunshot,28-Jan-18,1:12:51,WashingtonDC7D,38.856,-76.972
7D258819,Single_Gunshot,28-Jan-18,1:44:59,WashingtonDC7D,38.855,-76.972
6D201628,Single_Gunshot,28-Jan-18,2:07:21,WashingtonDC6D,38.893,-76.924
6D201629,Single_Gunshot,28-Jan-18,2:55:48,WashingtonDC6D,38.89,-76.932
7D258828,Single_Gunshot,28-Jan-18,18:48:13,WashingtonDC7D,38.828,-76.997
6D201632,Single_Gunshot,28-Jan-18,19:50:55,WashingtonDC6D,38.901,-76.94
6D201634,Single_Gunshot,28-Jan-18,21:32:15,WashingtonDC6D,38.89,-76.93
7D258842,Single_Gunshot,29-Jan-18,20:37:26,WashingtonDC7D,38.827,-77.003
7D258867,Single_Gunshot,31-Jan-18,19:01:44,WashingtonDC7D,38.862,-76.991
7D258868,Single_Gunshot,31-Jan-18,19:44:40,WashingtonDC7D,38.827,-76.998
6D201672,Single_Gunshot,1-Feb-18,7:57:22,WashingtonDC6D,38.873,-76.969
3D68740,Single_Gunshot,1-Feb-18,9:21:29,WashingtonDC3D,38.913,-77.02
4D67097,Single_Gunshot,1-Feb-18,20:31:16,WashingtonDC4D,38.95,-77.014
7D258891,Single_Gunshot,1-Feb-18,22:14:22,WashingtonDC7D,38.846,-76.983
7D258895,Single_Gunshot,2-Feb-18,1:10:32,WashingtonDC7D,38.846,-76.978
6D201681,Single_Gunshot,2-Feb-18,2:48:58,WashingtonDC6D,38.885,-76.955
5D83466,Single_Gunshot,3-Feb-18,5:16:18,WashingtonDC5D,38.922,-76.997
6D201696,Single_Gunshot,3-Feb-18,23:43:41,WashingtonDC6D,38.882,-76.936
5D83471,Single_Gunshot,4-Feb-18,1:57:05,WashingtonDC5D,38.904,-76.982
6D201702,Single_Gunshot,4-Feb-18,2:23:44,WashingtonDC6D,38.889,-76.954
7D258932,Single_Gunshot,4-Feb-18,18:16:06,WashingtonDC7D,38.865,-76.978
6D201744,Single_Gunshot,6-Feb-18,17:33:02,WashingtonDC6D,38.887,-76.919
7D258995,Single_Gunshot,6-Feb-18,19:10:26,WashingtonDC7D,38.86,-76.997
6D201764,Single_Gunshot,8-Feb-18,16:46:53,WashingtonDC6D,38.891,-76.927
7D259035,Single_Gunshot,8-Feb-18,23:41:26,WashingtonDC7D,38.827,-77
7D259045,Single_Gunshot,9-Feb-18,22:19:57,WashingtonDC7D,38.856,-76.968
7D259046,Single_Gunshot,9-Feb-18,22:51:38,WashingtonDC7D,38.859,-76.997
7D259049,Single_Gunshot,10-Feb-18,3:03:48,WashingtonDC7D,38.829,-76.995
6D201786,Single_Gunshot,10-Feb-18,3:59:54,WashingtonDC6D,38.869,-76.974
7D259053,Single_Gunshot,10-Feb-18,4:32:33,WashingtonDC7D,38.844,-76.977
4D67158,Single_Gunshot,10-Feb-18,4:49:49,WashingtonDC4D,38.955,-77.028
7D259063,Single_Gunshot,10-Feb-18,21:30:54,WashingtonDC7D,38.857,-76.995
7D259066,Single_Gunshot,10-Feb-18,22:22:58,WashingtonDC7D,38.861,-76.987
7D259070,Single_Gunshot,11-Feb-18,1:06:20,WashingtonDC7D,38.843,-76.994
7D259074,Single_Gunshot,11-Feb-18,3:13:18,WashingtonDC7D,38.855,-76.972
7D259075,Single_Gunshot,11-Feb-18,4:43:33,WashingtonDC7D,38.839,-76.99
7D259083,Single_Gunshot,11-Feb-18,18:32:08,WashingtonDC7D,38.849,-76.972
7D259086,Single_Gunshot,11-Feb-18,19:33:01,WashingtonDC7D,38.826,-77
4D67172,Single_Gunshot,11-Feb-18,23:23:16,WashingtonDC4D,38.944,-77.027
3D68789,Single_Gunshot,12-Feb-18,3:33:42,WashingtonDC3D,38.924,-77.032
6D201806,Single_Gunshot,12-Feb-18,19:00:51,WashingtonDC6D,38.895,-76.937
5D83607,Single_Gunshot,14-Feb-18,6:42:48,WashingtonDC5D,38.92,-76.979
7D259132,Single_Gunshot,14-Feb-18,10:09:24,WashingtonDC7D,38.845,-76.979
